# Time (s), Z (m)
129.408512,991.625544
129.468016,989.020118
129.816771,973.947662
130.165526,959.177951
130.514281,944.670413
130.863036,930.390407
131.390463,909.161755
131.917890,888.302704
132.445317,867.746504
132.972744,847.438921
133.500170,827.336980
134.309323,796.819578
135.118475,766.609654
135.927628,736.636491
136.736780,706.848511
137.545933,677.208092
138.493016,642.665657
139.440099,608.255701
140.387181,573.955626
141.334264,539.749591
142.281347,505.626478
143.564139,459.526497
144.846930,413.551023
146.129722,367.691407
147.412514,321.942380
148.922483,268.227802
150.432452,214.657307
151.942421,161.227618
154.105709,84.920959
156.268997,8.892880
156.522545,0.000019
