time_s,mean_thrust_N,fitted_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.276,4519.712212347477,4457.0173434364115,322.14291430993853,4319.712212347477,4719.712212347477
0.278,4519.712212347477,4457.134529074661,324.12640975501677,4319.712212347477,4719.712212347477
0.28,4519.712212347477,4457.251602826841,326.32560313836376,4319.712212347477,4719.712212347477
0.28200000000000003,4519.712212347477,4457.368564738937,328.20268776610664,4319.712212347477,4719.712212347477
0.28400000000000003,4519.712212347477,4457.485414856934,329.19310146343264,4319.712212347477,4719.712212347477
0.28600000000000003,4519.712212347477,4457.602153226818,328.8243975578662,4319.712212347477,4719.712212347477
0.28800000000000003,4519.712212347477,4457.718779894576,326.8443788914685,4319.712212347477,4719.712212347477
0.29,4519.712212347477,4457.835294906193,323.27508523825475,4319.712212347477,4719.712212347477
0.292,4519.712212347477,4457.9516983076555,318.4134218067932,4319.712212347477,4719.712212347477
0.294,4519.712212347477,4458.067990144949,312.76530405505645,4319.712212347477,4719.712212347477
0.296,4519.712212347477,4458.184170464061,306.95013295574995,4319.712212347477,4719.712212347477
0.298,4519.712212347477,4458.3002393109755,301.60489646085574,4319.712212347477,4719.712212347477
0.3,4519.712212347477,4458.4161967316795,297.2921970512847,4319.712212347477,4719.712212347477
0.302,4519.712212347477,4458.532042772158,294.4530794430589,4319.712212347477,4719.712212347477
0.304,4519.712212347477,4458.647777478398,293.37278755168404,4319.712212347477,4719.712212347477
0.306,4519.712212347477,4458.763400896385,294.1619606184781,4319.712212347477,4719.712212347477
0.308,4519.712212347477,4458.878913072105,296.7292392271812,4319.712212347477,4719.712212347477
0.31,4519.712212347477,4458.994314051544,300.7495568832456,4319.712212347477,4719.712212347477
0.312,4519.712212347477,4459.109603880688,305.6852959617232,4319.712212347477,4719.712212347477
0.314,4519.712212347477,4459.224782605523,310.84127663317423,4319.712212347477,4719.712212347477
0.316,4519.712212347477,4459.339850272035,315.4974598212569,4319.712212347477,4719.712212347477
0.318,4519.712212347477,4459.454806926209,319.05792577677124,4319.712212347477,4719.712212347477
0.32,4519.712212347477,4459.569652614032,321.18403250544446,4319.712212347477,4719.712212347477
0.322,4519.712212347477,4459.68438738149,321.87422297412127,4319.712212347477,4719.712212347477
0.324,4519.712212347477,4459.799011274568,321.42525089603964,4319.712212347477,4719.712212347477
0.326,4519.712212347477,4459.913524339253,320.3517152152401,4319.712212347477,4719.712212347477
0.328,4519.712212347477,4460.02792662153,319.23272942236525,4319.712212347477,4719.712212347477
0.33,4519.712212347477,4460.142218167386,318.57725996258523,4319.712212347477,4719.712212347477
0.332,4519.712212347477,4460.256399022806,318.723856361511,4319.712212347477,4719.712212347477
0.334,4519.712212347477,4460.370469233777,319.7947451730476,4319.712212347477,4719.712212347477
0.336,4519.712212347477,4460.484428846285,321.72756700350743,4319.712212347477,4719.712212347477
0.338,4519.712212347477,4460.598277906313,324.3074019006969,4319.712212347477,4719.712212347477
