time_s,run_1_4-tenso raketa-filtered-regression.txt_thrust_N,run_2_4-tenso raketa-filtered-regression_05_hf1.txt_thrust_N,run_3_4-tenso raketa-filtered-regression_05_hf4.txt_thrust_N,run_4_4-tenso raketa-filtered-regression_05_hf5.txt_thrust_N,run_5_THRUST-testdata.txt_thrust_N
4.418,2912.655964936558,,,,2867.1107596455877
4.42,2908.4204340107567,,,,2867.136979675213
4.422,2902.3819632996774,,,,2867.00490571673
4.424,2894.6470092580494,,,,2866.657091628741
4.426,2885.4026256322727,,,,2866.0744489834005
4.428,2875.0765685556885,,,,2865.2808145008444
4.43,2864.2073969776925,,,,2864.3426613191345
4.432,2853.504596983044,,,,2863.3615270239306
4.434,2843.7492369441843,,,,2862.4568175037384
4.436,2835.6811153806657,,,,2861.739783307792
4.438,2829.9981519270923,,,,2861.2846556186555
4.44,2827.0614916211666,,,,2861.106975877497
4.442,2827.092695425412,,,,2861.1585246355003
4.444,2830.23437562205,,,,2861.3423677559767
4.446,2836.288608990584,,,,2861.54317520971
4.448,2844.9832053965824,,,,2861.661192878763
4.45,2855.883026623471,,,,2861.636576217112
4.452,2868.1683741656193,,,,2861.4553877468034
4.454,2880.884714254529,,,,2861.1373965093435
4.456,2892.9165454227887,,,,2860.714784877432
4.458,2903.2384881309126,,,,2860.215284286769
4.46,2911.034111996743,,,,2859.6599674539525
4.462,2915.671281366695,,,,2859.076091030084
4.464,2917.0113959527816,,,,2858.5148320143467
4.466,2915.0768057039622,,,,2858.0593113592345
4.468,2909.989405471106,,,,2857.813073848297
4.47,2902.2192650288525,,,,2857.870509385905
4.472,2892.2998513292714,,,,2858.281792213142
4.474,2880.923466254116,,,,2859.0290120686177
4.476,2869.03017929928,,,,2860.0247539520033
4.478,2857.557575119128,,,,2861.1332790210804
4.48,2847.4178728480383,,,,2862.2046788545376
4.482,2839.1897652257226,,,,2863.1084225138243
4.484,2833.120543075624,,,,2863.7549602253794
4.486,2829.152231065972,,,,2864.1005365650217
4.488,2826.8175041105146,,,,2864.1379217621425
4.49,2825.583561108408,,,,2863.881067493399
4.492,2824.91478538814,,,,2863.352723006375
4.494,2824.322383937181,,,,2862.5804888690745
4.496,2823.453197422693,,,,2861.6005425475846
4.498,2822.036613759753,,,,2860.463315174825
4.5,2819.945366236182,,,,2859.23497449303
4.502,2817.169670330664,,,,2857.992418824879
4.5040000000000004,2813.851413742019,,,,2856.8143608559612
4.506,2810.3495950684974,,,,2855.773306848357
4.508,2807.1505298117895,,,,2854.9312732338317
4.51,2804.8581309364563,,,,2854.3378579396294
4.5120000000000005,2803.996003170265,,,,2854.026693217289
4.514,2804.9846754745317,,,,2854.0076618526664
4.516,2808.1552709220455,,,,2854.2564550860557
4.518,2813.638836012792,,,,2854.7069366966944
4.5200000000000005,2821.1255426280595,,,,2855.252782142848
4.522,2830.7878836919785,,,,2855.7624089066117
4.524,2842.152719426504,,,,2856.1062759174574
4.526,2854.71362476979,,,,2856.189821479894
4.5280000000000005,2867.8338842500893,,,,2855.9809531874453
4.53,2880.5410971307106,,,,2855.5207715600163
4.532,2891.6230380160628,,,,2854.9113495041915
4.534,2900.3160070007034,,,,2854.283350821288
4.5360000000000005,2906.0382105581834,,,,2853.7550431742443
4.538,2908.449001077573,,,,2853.3983977145976
4.54,2907.460865032234,,,,2853.22495549112
4.542,2903.3580970389166,,,,2853.1949818851485
4.5440000000000005,2896.4761343240666,,,,2853.2427661756205
4.546,2887.2451146911344,,,,2853.3047013711885
4.548,2876.2919732838695,,,,2853.3380849721843
4.55,2864.282892962734,,,,2853.3255018730697
4.5520000000000005,2852.0004931238927,,,,2853.267269407066
4.554,2840.2634267830463,,,,2853.168691985261
4.556,2829.8072779927716,,,,2853.028989842102
4.558,2821.227111842033,,,,2852.836450640265
4.5600000000000005,2814.7785234963594,,,,2852.5714209719235
4.562,2810.510771424023,,,,2852.216004977672
4.564,2808.286820393648,,,,2851.7669374680345
4.566,2807.760957581523,,,,2851.246176448465
4.5680000000000005,2808.597295566035,,,,2850.703046126168
4.57,2810.4473430585713,,,,2850.203707755108
4.572,2812.918107891389,,,,2849.809037073613
4.574,2815.6379668443838,,,,2849.548776542621
4.5760000000000005,2818.2183304829573,,,,2849.40394598886
