Time (s),Mach Number
58.351478,0.114805
59.419754,0.114515
60.488030,0.114225
61.547906,0.113938
62.607782,0.113653
63.667658,0.113369
63.879633,0.113312
64.091608,0.113256
64.303583,0.113201
64.619550,0.113120
64.935516,0.113038
65.251482,0.112956
66.248426,0.112694
67.245369,0.112431
68.242313,0.112167
69.239257,0.111903
70.710071,0.111516
72.180886,0.111132
73.651701,0.110751
75.122515,0.110373
77.156348,0.109858
79.190180,0.109350
81.224013,0.108849
82.008910,0.108657
82.793807,0.108467
83.301876,0.108347
83.809946,0.108226
84.318015,0.108105
85.004023,0.107940
85.690030,0.107774
86.376037,0.107608
87.062045,0.107442
88.391026,0.107121
89.720007,0.106802
91.048988,0.106485
92.377969,0.106171
94.136077,0.105759
95.894186,0.105354
97.652294,0.104953
99.410402,0.104557
100.535462,0.104307
101.213744,0.104156
101.752339,0.104037
102.290934,0.103917
102.829529,0.103797
103.905208,0.103555
104.980887,0.103314
106.056566,0.103073
107.132244,0.102834
108.755831,0.102475
110.379418,0.102121
112.003005,0.101770
113.626592,0.101424
115.572465,0.101014
117.518338,0.100611
119.464211,0.100209
121.410084,0.099802
122.392685,0.099596
123.375286,0.099391
124.357887,0.099188
125.333927,0.098987
126.309968,0.098788
127.286008,0.098590
132.193355,0.097617
133.420191,0.097379
134.647028,0.097142
135.873865,0.096901
137.100701,0.096652
137.953304,0.096483
138.805907,0.096315
139.658510,0.096150
140.511113,0.095985
141.400998,0.095814
142.290883,0.095645
143.180769,0.095476
144.783155,0.095175
146.385541,0.094878
147.987928,0.094583
149.590314,0.094291
151.486649,0.093950
151.960733,0.093864
152.434817,0.093774
152.908901,0.093685
153.609290,0.093556
154.309679,0.093427
154.761905,0.093345
154.842428,0.093331
154.922952,0.093316
155.686266,0.093178
156.449581,0.093042
157.212895,0.092905
158.513953,0.092675
159.815011,0.092446
160.761905,0.092280
160.764134,0.091844
160.766363,0.091413
160.770822,0.090559
160.775281,0.089723
160.779739,0.088904
160.804111,0.084705
160.828483,0.080928
160.852855,0.077515
160.877227,0.074416
160.914301,0.070218
160.951375,0.066546
160.988449,0.063311
161.025523,0.060442
161.062597,0.057886
161.125071,0.054162
161.187544,0.051033
161.250017,0.048376
161.312490,0.046101
161.374963,0.044138
161.437437,0.042435
161.538373,0.040126
161.639309,0.038251
161.740245,0.036713
161.841181,0.035441
161.942117,0.034383
162.043054,0.033497
162.212958,0.032312
162.382862,0.031417
162.552766,0.030736
162.722670,0.030215
162.892574,0.029814
163.062478,0.029505
163.321908,0.029161
163.581338,0.028926
163.840768,0.028765
164.100198,0.028655
164.359628,0.028578
164.721134,0.028508
165.082640,0.028464
165.444146,0.028435
165.805652,0.028416
166.197583,0.028401
166.589513,0.028390
166.981443,0.028381
167.374351,0.028374
167.767258,0.028366
168.160166,0.028359
168.552939,0.028353
168.945713,0.028346
169.338487,0.028340
171.403031,0.028306
173.467576,0.028273
175.532120,0.028240
179.919835,0.028169
181.577402,0.028143
183.234969,0.028117
183.401504,0.028114
183.568039,0.028112
183.734574,0.028109
184.067644,0.028104
184.400714,0.028099
184.733783,0.028093
185.664532,0.028078
186.595281,0.028063
187.526029,0.028048
188.456778,0.028033
189.752313,0.028012
191.047848,0.027991
192.343383,0.027970
195.784148,0.027915
199.224914,0.027861
202.665680,0.027806
209.356974,0.027702
216.048268,0.027598
222.739562,0.027497
229.666729,0.027392
231.452978,0.027366
233.239226,0.027339
234.303977,0.027323
235.126109,0.027311
235.948241,0.027298
236.770373,0.027286
237.592505,0.027274
238.414637,0.027261
239.236769,0.027249
240.669154,0.027227
242.101538,0.027206
243.533923,0.027184
246.544784,0.027139
