time_s,mean_thrust_N,std_thrust_N,ci95_lower_N,ci95_upper_N
0.402,4281.032519472871,272.77826479089185,4081.032519472871,4481.032519472871
0.404,4272.716428794965,269.0187171683906,4072.7164287949654,4472.716428794965
0.406,4282.195310497396,272.2929003622948,4082.1953104973963,4482.195310497396
0.40800000000000003,4318.5463011585125,282.67509248381543,4118.5463011585125,4518.5463011585125
0.41000000000000003,4333.346164692008,282.8654625170307,4133.346164692008,4533.346164692008
0.41200000000000003,4350.417923198071,301.0031837178081,4150.417923198071,4550.417923198071
0.41400000000000003,4354.671931811508,312.0517248794669,4154.671931811508,4554.671931811508
0.41600000000000004,4325.097315189698,306.7580766372205,4125.097315189698,4525.097315189698
0.418,4322.139011850321,285.8417025436409,4122.139011850321,4522.139011850321
0.42,4311.514887529582,255.4453587879264,4111.514887529582,4511.514887529582
0.422,4294.661127006399,234.87962702749928,4094.6611270063986,4494.661127006399
0.424,4293.689116364867,234.36469212427286,4093.689116364867,4493.689116364867
0.426,4282.368164920249,249.51328860519666,4082.368164920249,4482.368164920249
0.428,4303.061034672244,280.7385819475196,4103.061034672244,4503.061034672244
0.43,4316.770475276157,318.1255656637179,4116.770475276157,4516.770475276157
0.432,4314.470422442861,343.28155919569826,4114.470422442861,4514.470422442861
0.434,4312.286179081207,347.87237853281715,4112.286179081207,4512.286179081207
0.436,4306.534601931182,326.7484350942644,4106.534601931182,4506.534601931182
0.438,4289.8168377205375,290.8171281638938,4089.8168377205375,4489.8168377205375
0.44,4276.078015495199,264.16857454539416,4076.078015495199,4476.078015495199
0.442,4256.202166642068,239.15252467342196,4056.202166642068,4456.202166642068
0.444,4257.777028700064,242.68388619967024,4057.777028700064,4457.777028700064
0.446,4284.438624851307,265.6556007008129,4084.4386248513074,4484.438624851307
0.448,4315.026113645668,287.9861474798997,4115.026113645668,4515.026113645668
0.45,4345.1837473762425,306.03141482905374,4145.1837473762425,4545.1837473762425
0.452,4349.97959477034,309.3178494384048,4149.97959477034,4549.97959477034
0.454,4346.10354904423,284.74192894360425,4146.10354904423,4546.10354904423
0.456,4321.993350535666,250.1282580227699,4121.993350535666,4521.993350535666
0.458,4276.700169858897,231.90661121648228,4076.7001698588974,4476.700169858897
0.46,4241.514484731271,237.2848427420217,4041.5144847312713,4441.514484731271
0.462,4228.113903889654,262.28257848083473,4028.1139038896536,4428.113903889654
0.464,4238.029548126246,285.0962952024435,4038.0295481262456,4438.029548126246
0.466,4279.1438094339,301.51174534181644,4079.1438094339,4479.1438094339
0.468,4305.836191672975,296.58703449164364,4105.836191672975,4505.836191672975
0.47000000000000003,4323.866275636869,297.9835675919419,4123.866275636869,4523.866275636869
0.47200000000000003,4316.804775257064,291.6240947369649,4116.804775257064,4516.804775257064
0.47400000000000003,4298.998547329906,287.05912699755044,4098.998547329906,4498.998547329906
0.47600000000000003,4287.314183352079,274.3606419911318,4087.3141833520795,4487.314183352079
0.47800000000000004,4259.8605352444065,268.32074852263634,4059.8605352444065,4459.8605352444065
0.48,4234.8131521225405,275.11683157022225,4034.8131521225405,4434.8131521225405
0.482,4229.443399991912,282.7095128322384,4029.443399991912,4429.443399991912
0.484,4234.013286986873,280.89796791155914,4034.013286986873,4434.013286986873
0.486,4256.001551176232,275.02458065678013,4056.001551176232,4456.001551176232
0.488,4290.461609451496,258.1953753485005,4090.461609451496,4490.461609451496
0.49,4295.519056509967,246.6786153799074,4095.5190565099674,4495.519056509967
0.492,4300.01776375848,260.8311204722862,4100.01776375848,4500.01776375848
0.494,4287.45959016562,289.9376200671291,4087.4595901656203,4487.45959016562
0.496,4261.35146226882,311.2133233702361,4061.35146226882,4461.35146226882
0.498,4242.160906939312,306.85744247242934,4042.1609069393116,4442.160906939312
0.5,4223.915757490966,294.4445605789617,4023.915757490966,4423.915757490966
0.502,4224.997039815284,280.38468281065497,4024.9970398152836,4424.997039815284
0.504,4233.447809159443,255.00711867025788,4033.447809159443,4433.447809159443
0.506,4238.900558113238,237.94493432461078,4038.900558113238,4438.900558113238
0.508,4257.834944263405,240.92500692939765,4057.8349442634053,4457.834944263405
0.51,4267.5492005431315,259.66767482872285,4067.5492005431315,4467.5492005431315
0.512,4259.303794230846,285.24712254686625,4059.3037942308456,4459.303794230846
0.514,4259.9659263474905,294.5463566140679,4059.9659263474905,4459.9659263474905
